['-12', '3', '0.015', '0.09', '48', '10', '0.0008', '0.0012', '5', 'True', '221', '54', '24.43438914027149']
['-12', '3', '0.015', '0.09', '48', '10', '0.0006', '0.001', '3', 'True', '198', '48', '24.242424242424242']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.001', '3', 'True', '198', '48', '24.242424242424242']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.001', '4', 'True', '187', '45', '24.06417112299465']
['-12', '3', '0.015', '0.09', '48', '10', '0.0006', '0.0012', '3', 'False', '155', '39', '25.161290322580644']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.0012', '5', 'False', '148', '38', '25.675675675675674']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'False', '152', '38', '25.0']
['-12', '3', '0.015', '0.09', '48', '10', '0.0006', '0.0012', '5', 'False', '148', '38', '25.675675675675674']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.0012', '4', 'False', '151', '38', '25.165562913907287']
['-12', '2', '0.025', '0.09', '48', '10', '0.0008', '0.0012', '4', 'False', '91', '24', '26.373626373626376']
['-12', '2', '0.025', '0.08', '48', '10', '0.0008', '0.0012', '4', 'False', '91', '24', '26.373626373626376']
['-12', '2', '0.025', '0.09', '48', '10', '0.0008', '0.0012', '3', 'False', '92', '24', '26.08695652173913']
['-12', '2', '0.025', '0.08', '48', '10', '0.0008', '0.0012', '3', 'False', '92', '24', '26.08695652173913']
['-12', '2', '0.025', '0.08', '48', '10', '0.0006', '0.0012', '3', 'False', '88', '23', '26.136363636363637']
['-12', '2', '0.025', '0.09', '48', '10', '0.0006', '0.0012', '3', 'False', '88', '23', '26.136363636363637']
['-12', '3', '0.025', '0.08', '48', '10', '0.0006', '0.0012', '3', 'False', '68', '20', '29.411764705882355']
['-12', '3', '0.025', '0.08', '48', '10', '0.0008', '0.0012', '3', 'False', '70', '20', '28.57142857142857']
['-12', '3', '0.025', '0.08', '48', '10', '0.001', '0.0012', '3', 'False', '71', '20', '28.169014084507044']
['-12', '3', '0.025', '0.09', '48', '10', '0.0006', '0.0012', '3', 'False', '68', '20', '29.411764705882355']
['-12', '3', '0.025', '0.09', '48', '10', '0.0008', '0.0012', '3', 'False', '70', '20', '28.57142857142857']
['-12', '3', '0.025', '0.09', '48', '10', '0.001', '0.0012', '3', 'False', '71', '20', '28.169014084507044']
['-12', '3', '0.025', '0.08', '48', '10', '0.0006', '0.0012', '5', 'False', '65', '19', '29.230769230769234']
['-12', '3', '0.025', '0.08', '48', '10', '0.0008', '0.0012', '5', 'False', '66', '19', '28.78787878787879']
['-12', '3', '0.025', '0.08', '48', '10', '0.001', '0.0012', '5', 'False', '68', '19', '27.941176470588236']
['-12', '3', '0.025', '0.09', '48', '10', '0.0006', '0.0012', '5', 'False', '65', '19', '29.230769230769234']
['-12', '3', '0.025', '0.09', '48', '10', '0.0008', '0.0012', '5', 'False', '66', '19', '28.78787878787879']
['-12', '3', '0.025', '0.09', '48', '10', '0.001', '0.0012', '5', 'False', '68', '19', '27.941176470588236']

['-8', '3', '0.015', '0.08', '48', '6', '0.0008', '0.0012', '4', 'True', '267', '62', '23.220973782771537']
['-12', '3', '0.015', '0.08', '48', '6', '0.0008', '0.0012', '4', 'True', '267', '62', '23.220973782771537']
['-16', '3', '0.015', '0.08', '48', '6', '0.0008', '0.0012', '4', 'True', '267', '62', '23.220973782771537']
['-8', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'True', '221', '54', '24.43438914027149']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'True', '221', '54', '24.43438914027149']
['-16', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'True', '221', '54', '24.43438914027149']
['-8', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'True', '215', '53', '24.651162790697676']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'True', '215', '53', '24.651162790697676']
['-16', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'True', '215', '53', '24.651162790697676']
['-8', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'False', '152', '38', '25.0']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'False', '152', '38', '25.0']
['-16', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'False', '152', '38', '25.0']
['-16', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'False', '147', '37', '25.170068027210885']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'False', '147', '37', '25.170068027210885']

['-12', '3', '0.02', '0.04', '48', '6', '0.0008', '0.0012', '6', 'True', '101', '28', '27.722772277227726', '3900']
['-12', '3', '0.02', '0.04', '48', '6', '0.0008', '0.0012', '4', 'True', '105', '29', '27.61904761904762', '4000']
['-12', '3', '0.02', '0.04', '48', '6', '0.0008', '0.0012', '6', 'True', '140', '36', '25.71428571428571', '4000']
['-12', '3', '0.02', '0.04', '48', '6', '0.0008', '0.0012', '5', 'True', '144', '37', '25.694444444444443', '4100']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '6', 'True', '169', '42', '24.85207100591716', '4100']
['-12', '3', '0.015', '0.04', '48', '10', '0.0008', '0.0012', '5', 'True', '208', '50', '24.03846153846154', '4200']
['-12', '3', '0.015', '0.08', '48', '6', '0.0008', '0.0012', '5', 'True', '258', '60', '23.25581395348837', '4200']
['-12', '3', '0.02', '0.04', '48', '6', '0.0008', '0.0012', '5', 'True', '103', '29', '28.155339805825243', '4200']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '4', 'True', '177', '44', '24.858757062146893', '4300']
['-12', '3', '0.015', '0.08', '48', '6', '0.0008', '0.0012', '4', 'True', '267', '62', '23.220973782771537', '4300']
